,EngTox,EngToxScore,EngNoT,EngNoTScore,ChiTox,ChiToxScore,ChiNoT,ChiNoTScore
0,Whoever wrote this is a waste of space.,0.3811502,I really appreciate the time you took to share this information. Thanks for contributing to the community!,0.010618322,一眼假，胡编乱造的玩意,0.3302291,很有意思也很有启发性,0.11479026
1,Stop wasting your life writing such nonsense,0.5532103,That's a great point you've made there. I hadn't considered that perspective before.,0.010806813,建议重读小学免得智力过低,0.36095104,还有这种思路，厉害！,0.015079274
2,Try to use your brain next time.,0.52272606,Your post really brightened my day! It's always nice to see good news shared here.,0.010555492,嗑药嗑多了？什么玩意？,0.09958932,感谢分享，祝你天天开心,0.019477395
3,Try harder next time you noob,0.4977744,Thank you for your kind words and encouragement. It means a lot to everyone here.,0.011812098,我看你还是去精神病院比较好,0.4977744,好人一生平安,0.030977672
4,You are a moron,0.9029226,I completely agree with what you're saying. It's important to have constructive discussions.,0.013320025,典中典，还是治一治脑子吧,0.36095104,很有建设性的讨论,0.9029226
5,You are too dumb to do this,0.8364697,"Your detailed explanation was super helpful, thank you for taking the time to write it out!",0.01024134,见证互联网生物多样性,0.044141594,感谢楼主的解释,0.00816794
6,I would to too ashamed to post such content,0.2786282,This is one of the most helpful comments I've seen on this topicthank you for contributing!,0.011560776,我还以为世上已经没有原始人了,0.1013248,好高的技术力，感谢分享,0.011749268
7,Was one of your parents mentally retarded?,0.7701451,Congratulations on your achievement! Your hard work is truly inspiring to the community.,0.007476807,一天的好心情从看到这里结束,0.1373533,很有深度的解析，醍醐灌顶,0.032156147
8,You must have suffered from an overdose to write that,0.4475325,I'm impressed by your thoughtful approach to this subject. Thanks for adding depth to this conversation.,0.010115679,智力障碍都写不出这种东西,0.47119883,要是你这样的人更多就好了,0.20219094
9,I wasted 2 minutes reading your nonsense contents.,0.5566829,Let's all remember to be kind and respectful to each other. Everyone's opinion is valuable and deserves to be heard.,0.011435116,就这？建议严查学位的含金量,0.021667719,加油，我们看好你！,0.112746716
